method,features,lags,mas,f1,precision,recall,cm
OneClassSVM,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_5_value', 'ma_9_value']","('lag_1_value', 'lag_2_value')","('ma_5_value', 'ma_9_value')",0.012422360248447204,0.00684931506849315,0.06666666666666667,"[[1107  145]
 [  14    1]]"
Autoencoder,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_5_value', 'ma_9_value']","('lag_1_value', 'lag_2_value')","('ma_5_value', 'ma_9_value')",0.0759493670886076,0.046875,0.2,"[[1191   61]
 [  12    3]]"
IsolationForest,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_5_value', 'ma_10_value']","('lag_1_value', 'lag_2_value')","('ma_5_value', 'ma_10_value')",0.06666666666666667,0.06666666666666667,0.06666666666666667,"[[1238   14]
 [  14    1]]"
OneClassSVM,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_5_value', 'ma_10_value']","('lag_1_value', 'lag_2_value')","('ma_5_value', 'ma_10_value')",0.012345679012345678,0.006802721088435374,0.06666666666666667,"[[1106  146]
 [  14    1]]"
Autoencoder,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_5_value', 'ma_10_value']","('lag_1_value', 'lag_2_value')","('ma_5_value', 'ma_10_value')",0.0759493670886076,0.046875,0.2,"[[1191   61]
 [  12    3]]"
IsolationForest,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_6_value', 'ma_7_value']","('lag_1_value', 'lag_2_value')","('ma_6_value', 'ma_7_value')",0.06666666666666667,0.06666666666666667,0.06666666666666667,"[[1238   14]
 [  14    1]]"
OneClassSVM,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_6_value', 'ma_7_value']","('lag_1_value', 'lag_2_value')","('ma_6_value', 'ma_7_value')",0.04938271604938271,0.027210884353741496,0.26666666666666666,"[[1109  143]
 [  11    4]]"
Autoencoder,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_6_value', 'ma_7_value']","('lag_1_value', 'lag_2_value')","('ma_6_value', 'ma_7_value')",0.02531645569620253,0.015625,0.06666666666666667,"[[1189   63]
 [  14    1]]"
IsolationForest,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_6_value', 'ma_8_value']","('lag_1_value', 'lag_2_value')","('ma_6_value', 'ma_8_value')",0.06666666666666667,0.06666666666666667,0.06666666666666667,"[[1238   14]
 [  14    1]]"
OneClassSVM,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_6_value', 'ma_8_value']","('lag_1_value', 'lag_2_value')","('ma_6_value', 'ma_8_value')",0.011560693641618497,0.006329113924050633,0.06666666666666667,"[[1095  157]
 [  14    1]]"
Autoencoder,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_6_value', 'ma_8_value']","('lag_1_value', 'lag_2_value')","('ma_6_value', 'ma_8_value')",0.05063291139240506,0.03125,0.13333333333333333,"[[1190   62]
 [  13    2]]"
IsolationForest,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_6_value', 'ma_9_value']","('lag_1_value', 'lag_2_value')","('ma_6_value', 'ma_9_value')",0.06666666666666667,0.06666666666666667,0.06666666666666667,"[[1238   14]
 [  14    1]]"
OneClassSVM,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_6_value', 'ma_9_value']","('lag_1_value', 'lag_2_value')","('ma_6_value', 'ma_9_value')",0.03592814371257485,0.019736842105263157,0.2,"[[1103  149]
 [  12    3]]"
Autoencoder,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_6_value', 'ma_9_value']","('lag_1_value', 'lag_2_value')","('ma_6_value', 'ma_9_value')",0.0759493670886076,0.046875,0.2,"[[1191   61]
 [  12    3]]"
IsolationForest,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_6_value', 'ma_10_value']","('lag_1_value', 'lag_2_value')","('ma_6_value', 'ma_10_value')",0.06666666666666667,0.06666666666666667,0.06666666666666667,"[[1238   14]
 [  14    1]]"
OneClassSVM,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_6_value', 'ma_10_value']","('lag_1_value', 'lag_2_value')","('ma_6_value', 'ma_10_value')",0.023668639053254437,0.012987012987012988,0.13333333333333333,"[[1100  152]
 [  13    2]]"
Autoencoder,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_6_value', 'ma_10_value']","('lag_1_value', 'lag_2_value')","('ma_6_value', 'ma_10_value')",0.05063291139240506,0.03125,0.13333333333333333,"[[1190   62]
 [  13    2]]"
IsolationForest,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_7_value', 'ma_8_value']","('lag_1_value', 'lag_2_value')","('ma_7_value', 'ma_8_value')",0.06666666666666667,0.06666666666666667,0.06666666666666667,"[[1238   14]
 [  14    1]]"
OneClassSVM,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_7_value', 'ma_8_value']","('lag_1_value', 'lag_2_value')","('ma_7_value', 'ma_8_value')",0.03592814371257485,0.019736842105263157,0.2,"[[1103  149]
 [  12    3]]"
Autoencoder,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_7_value', 'ma_8_value']","('lag_1_value', 'lag_2_value')","('ma_7_value', 'ma_8_value')",0.05063291139240506,0.03125,0.13333333333333333,"[[1190   62]
 [  13    2]]"
IsolationForest,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_7_value', 'ma_9_value']","('lag_1_value', 'lag_2_value')","('ma_7_value', 'ma_9_value')",0.06666666666666667,0.06666666666666667,0.06666666666666667,"[[1238   14]
 [  14    1]]"
OneClassSVM,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_7_value', 'ma_9_value']","('lag_1_value', 'lag_2_value')","('ma_7_value', 'ma_9_value')",0.03468208092485549,0.0189873417721519,0.2,"[[1097  155]
 [  12    3]]"
